Category;Category_Description;Attribute;concept;Human_Description;Annotation_Guideline;Normalization_params;Normalization_instruction;Normalization_Function_Description;Data_Types;Normalized_Datatype;Unique Values Count (target_scores);NA Values Percentage (target_scores);Unique Values List (target_scores)
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Height;dimensions;The 'Height' attribute determines the height of the product. It can be measured in inches, cm, feet or meters.;"* If unit is provided, its added
* Do not include ""H"" identifier -> redundant ";[Unit Conversion];"Convert and standardize the Height measurement to centimeters (cm). 
If the width is not already in cm, convert it from inches, mm, meters, yards, or feet to cm.
If no unit is specified, assume the measurement is in inches.
For width ranges, use the larger value in the range for conversion.
Output the final width value as a single numeric figure in cm, rounded to one decimal place.
Exclude any unit indicators in the output.";"1 inch = 2.54 cm
1 foot = 30.48 cm
1 yard = 91.44 cm
1 mm = 0.1cm
1 m = 100cm";"[""Numeric"", ""Numeric with Fraction"", ""Numeric with Decimal"", ""Numeric with Unit"", ""Numeric with Fraction with Unit"", ""Numeric with Decimal with Unit"", ""Free Text""]";Numeric with Decimal;84;63,91;"8-1/2"", 72"", 39"", 38"", 7-3/4"", 9in, 12-5/8"", 75"", 36-1/2"", 60, 27 2/5, 34"", 18"", 6-7/8"", 60"", 29 7/8, 3-5/8"", 24-1/4"", 30"", 4-1/4"", 48"", 7-1/2"", 23 - 1/2"", 64"", 24-3/4"", 15-1/2"", 44.75"", 40-1/4, 10-1/8"", 70"", dual height, 3.5, 65, 7 1/4, 33-1/4"", 12in, Reduced Height, 15"", full height, 11-3/4"", 5-1/4"", 33"", 12"", 24"", 15-5/16"", 54"", 35-1/2"", Single-Height, 38-3/4"", n/a, 17-22, 41-1/2"", 67"", 10"", 69"", 11"", 32"", 3-3/4"", 1-3/4"", 29-1/2"", 37"", 24, 43.75"", 8-1/4"", 31-3/8"", 29-1/4"", 74"", 29 1/2, 29-7/8, 29-1/2, 40"", 5"", 45-1/2"", 70-1/2"", 78"", Dual-Height, 23 5/8, 36"", 6-1/2"", 55-3/4"", single height, 23.5"", 3-1/2"", 81-1/8"
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Color;material_design;The 'Color' attribute refers to the color of the product. These can be either broad or very specfic.;"
* Level of detail: Longest substring rule ""speckled gray"" instead of ""gray""
* Some materials are also colors (e.g. ""brushed graphite"")";[Color Generalization];"Categorize the color of each product into ONLY ONE of the following options:
-Black
-White
-Brown
-Green
-Beige
-Gray and Metallic
-Blue
-Red
-Pink
-Yellow
-Purple
-Assorted/Others
-No Color/Transparent

If the product description mentions exactly two colors, categorize it under the first mentioned color.
If the product description mentions more than two colors, classify it as 'Assorted/Others'.""";"* Black: Includes various shades and combinations of black, such as pure black, matte black, charcoal, onyx, and combinations with chrome.
 * White: Features white and its variations, including bright white, pastel ivory and items described as brightly colored.
 * Brown: Encompasses shades of brown like walnut, mahogany, cherry, and gold brown. Includes natural wood tones like medium cherry and natural cherry, as well as darker shades like coffee beige and desert brown.
 * Green: Covers all shades of green, from bright green and neon lime to darker tones like Sherwood green and empire green.
 * Beige: Includes beige and its variations such as putty, manila, and pastel ivory. Focuses on light, neutral tones.
 * Gray and Metallic: Features gray and metallic shades, including silver, graphite, smoke, and combinations with gray. Includes a range of metallics like copper, gold, bronze, and variations like architectural bronze with glacier gray.
 * Blue: Covers all shades of blue, including ice blue, navy, sky blue, and slate blue. 
 * Red: Includes various shades of red like ruby, cranberry, brick red, features red in multicolored items.
 * Pink: Features pink shades like magenta, carnation pink, and rose confetti.
 * Yellow: Encompasses yellow tones like canary, canary yellow.
 * Purple: Includes purple and its shades like violet.
 * Assorted/Others: A diverse category with multicolored items, vibrant colors, pastels, fluorescents, and combinations of multiple colors. Includes both bold and lively colors.
 * No Color/Transparent: Focuses on transparent, clear, and see-through items. Includes variations like crystal clear, translucent, and natural, as well as monochrome and invisible items.";"[""Free Text""]";free Text;74;57,25;empire green with desert brown, Neon Lime Green, lustrous gold, Med Cherry, Sierra Cherry, Clear, speckled gray, Rose Confetti, soft gray, chromate, walnut, Sherwood Green, hammertone bronze, slate blue, black, Black/Gray, Natural Cherry/Slate Gray, Sherwood green, Navy Blue, satin brass, copper, Cheeky Pink, cranberry, Beige, Mahogany, vibrant colors, burgundy, pink and yellow, beige, GRAY, Light Cherry/Black, white, Charcoal, Bronze, gray with Silverstone gray, navy blue, brick red, Granite Gray, architectural bronze with glacier gray, Natural, silver, red, yellow and blue, Multicolored, White, green, red, brushed graphite, bronze, n/a, Natural Cherry, yellow, empire green, blue, Matte Black, Black, Bright white, coffee beige, BEIG, dark brown, hot red, Blue, Brown, blending warm metallics, gray with dove gray, gray, Empire Green, Cranberry, silver, Gray, bold and vibrant colors, metallic grey, granite gray, Cherry, Slate Gray, Roses Pink, brown
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Retail UPC;identification;"The 'Retail UPC' attribute stands for the ""Universal Product Code"" which consists of 12 numerical Digits. The first six to nine digits represent the company or manufacturer. This part of the UPC is assigned by a central organization, ensuring that each manufacturer has a unique identifier. The following digits (up to five) are the item number, assigned by the manufacturer to a specific product. This part differentiates each product from others made by the same manufacturer. The final digit is a check digit, used to verify that the UPC is valid. It's calculated based on the other digits in the code.";* 12-Digit Number;[Substring Extraction];Extract the Manufacturer Code from a Retail UPC by isolating digits 2 to 6. ;"Consider the following pseudo code which could help you in extracting the Manufacturer Code from a Retail UPC:
def retail_upc_to_manufacturer_code(upc_str):
    if upc_string:
        return upc_str[1:6]
    else:
        return ""n/a""";"[""Unique Numeric ID"", ""Unique Alphanumeric ID"", ""Unique Numeric ID with marks"", ""Unique Alphanumeric ID with marks"", ""Unique Alphanumeric ID""]";Unique Numeric ID;29;92,13;092447001917, 023244919846, 072613461622, 036241663001, 10073852070375, 818642010994, 073852058710, 073852019445, 042167100247, 041165125054, 360000010004, 090406004481, 723783400101, 054915003588, 091141780265, 078628929010, n/a, 041215111372, 019800001162, 895454002034, 042976574666, 084001042252, 021200716881, 021709009088, 051700927890, 042167300357, 10013700836388, 073555421521, 690858704702
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Manufacturer Stock Number;identification;The 'Manufacturer Stock Number' uniquely identifies a product, distinguishing it from all other items produced by the manufacturer. Unlike the UPC, it is not standardised and may vary by country or region and is specific to the manufacturer and the particular item.;* Mostly alphanumeric combinations, without any other product specific information;[Delete Marks];Remove any non-alphanumeric characters (like hyphens, periods, and spaces) from the Manufacturer Stock Number. Only letters and numbers should remain in your output.;"Consider the following pseudo code which could help you in removing non-alphanumeric characters:
def delete_marks(id):
    return re.sub(r'[^a-zA-Z0-9]', '', id)";"[""Unique Numeric ID"", ""Unique Alphanumeric ID"", ""Unique Numeric ID with marks"", ""Unique Alphanumeric ID with marks"", ""Unique Alphanumeric ID""]";Unique Alphanumeric ID;332;9,32;416S-3030-5R, SES30S48-STGX, ECOEPBL12PK, EXCLB1718, TVKS-2412, 39001HLS, CSUR44366480, FGKSR367000PL, RAC92789PK, EWT24S48-STG-2X, GOJ90261M, U60-6G24RR, LTH7500E, 911191026, TMW-1200HD, ALEVA267212MC, 17HS800186, FG9T6571, TSKG-3610, EPS-2160-G, BB48Y-1-B-PT, CSA41546480, CD2020131, FG450088BEIG, ALJB362412, WMMS-18-24X, FGST24EPLWH, ST6-2460GSK, 316S-3696-5R, 4603DD-6R, C-101BAH-DS, 60700HL2, 36S1214184, 9S800416, FGN074SS, TFAG-3012, ALEVA513622MY, 60SS-6B24G, EMU184878P580, EMU214270580, SCATJ0922, 314-3048-2R, 416S-3636-5R, E62403D130, C2648SR-3, SNP197004905, EBMS6-2024, FGR1639EHBZ, 1000LCD402, BIG597420002240, COMMANDER18-6H, EUBIB-2421CP7, 4361D-2TL, BC2304S110, 78026, KR18-T14L, DTC-G30-48R, SAF3430BL, KIM01000CUBE, E1C16X20-R-18X, MSR-2000, 100BC186, 13048GSC, FG448600BL, JAGH3860H, BB48GSY-1-B, CSU58547480, CWTF15-3-0212, IBSVALH3340N11, 1C18X18-R-18X, TSAG-2412, CWNFN0046GY, EA244872580, TKLG-2411, RN-LB3030, 9404-7, 6311-1-240, TDC2953-2, EWT30S30-STG-24X, VCTF-3010, DTC-K30-120R, C2210C18, 94-3-54-36R, 4601DD-3GR, BR712416, SS30IC10, SFE01860-120, 314-24120-2R, TY2-72/PR-BLK, EPS-1872-G, BEV-30-48R, 34105504, TS-3-12-D1, 16S434119, DTS-G30-60R, GEN9JUMBO, RAC80833E, 27850.0016, 10HS1114186, KVC856158, MFI0800W, CRP12911167, 25S800186, 8018-BW-220, SBS3315S, 34113204, GOJ912006CMRE, 316-24144-2R, EK-SS-369M, DCM-751BAH, FF2142BK, 4361-2CR, UCU-72-512AL, UCD4427N, 314S-24132, 5309HRSS, PAC104225, ICE1006F, CSUHD44487480, KR21-30DP, CSDR73151, 500LCD110, DTS-G30-96R, 314-3672-5R, 314S-30120, TMFG30-LP, n/a, 624TCHSF, ALJB602012, 9-1-24-24L, FGQST40SWPL, SJN000116, FGR41202PL, CORBTP3096, 30S1114168, FLR118923LR, LPAG-60-SS, GOJ434104, KTMS-2411, CD1826HB157, E62083D150, KMS-2000MLH, 613Q-E3XX, WBIHAB6DK50CT, 136XLB/UFLC-36R, TVSS-3610, TC1418191, GCRB-24I-CE, KR21-GSB3, SH-1.5-0016, CD300H110, CD2020110, FPS2124SOGN, TSD48IC10, COR BT 3060, UC500191, GGT-36I-CE, BLT89759, 4602AD-2RR, UC3031827, FTC34105HD, 34104414, KR18-12RD, CPG-10, ZICS360NXRH, 16S738110, FM-RMB-648CR, EUBIB-4818CP10, ICE1806FR, FGR40WU6000, 36S958110, TS-3-14-D1, EK-SS-243M, CHABG6201M, KR18-RG12, CC2036P03, EWT30S36-STG-24X, FWSK4854BK, CWTF15-3, 416-3048-5R, 17HS1114416, 100BCS158, KR18-M48C, 316S-2460-2R, DTS-U30-96L, 36S1214416, C3000EWH, DEV700SG-30-ICS, 200BC186, BEV-30-108R, 20S1114110, CUCLA24B, EMSCP000, TFSS-3611, FG397001DWOOD, 316S-24120-2R, DKM-500BWH, HB-SS-303M, FFC24363CH, AMR1038695, 136-0G, ZPP1042188, WT30X96-STGX, KCC01000, ESU214272580, GTBG24-AB24, TDS-3.5-0008, 136-14, CB-SS-3012M, 4603DD-3CR, F2962, SAF4215BL, 506029, DEV1175SG-48-125, MX1000XTS, DTC-3-2020-120R, BB72GSY-1-B-27, 14-3C24X24-2-24X, FG9T5500RED, N1322R-32, 16S1058119, 21848ES30P, 2C24X24-0X, TKSS-3012, AG-2412, RCP1982726, 10HC414151, 911191027, BSHWC57466, ETC-1826-15-40, BPM-6HT, DCS950480, WT30S120-STGX, KM4360BK, MDB4949SDZ, PSS-900, 20S638168, T92901, GOJ093704, DL182623, KR18-BD12, ZPE1041684, VBRLHD5186, 25S318168, 827E-PLUS, OAC100RF, 33000.0008, KR21-S12C, EGD4803B4800-00, 316-24144, C1030M-32, 314S-36132, WT30X84-BGX, BP-6HT, FGR34HTWU50PLEGN, TY2-96/PL-SS, AX-M40, CS1448VK480, KCC43753, RAC74297E, KM-151BAH, EMU184278580, 99557LC/BK, DTC-K70-72R, FG254300GRAY, BTR895454002034, BP-72G, AVT78026, CSUHD44367S480, 314-3060-5R, 4484EE-6L, 4602AD-3TL, ALEBCS44836MC, BH1600SS-A, FG9W3200SSBL, EB-SS-3012, 34000.0081, C1448S-32, EWT30S30-STG-4X, 4472N-30M, FG566000, 9404-32D-7, KR18-18ST, VBRTL5146, TSW-2430SB, TVLG-4812, WT830M208U, WC57466, FG917188BL, VCTC-3010, REARR1403, A4528351, EWMS-14-60X, CTW-4M(208), 4483EE-2TR, RFPE84638CT, 1824-14, CK-SS-244M, 314S-3084-2R, KR18-18FD, 314S-2436-10R, GD-24RBFF, 2CD3628SS/RSS6SC, 314S-24144-10R, FGR48HT2000PL, 4604DD-2GL, ICE0606FT, FG454600BL, EK-SS-3010M, 93-22-40-36RL, TEPT92901, 7500E, HONS82ABCS, S62083D150, FGR14WU50PLEGN, P24C-HH, FMADR3624, DXICSUG36, FS-1500MLH-C, FGSO8SBSPL, EHS-18-PEDX, UCU-72-609AL, KR18-SD12, DTC-K30-48R, TWF-48SD-D2, MLNCT96CRY, EHS-18-TSX, 207-1818-D, BS4830-AS-D, ST6-2430SSK, ST6R5-24120SBK, ST6-30120GBK
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Heat;functional;The 'Heat' attribute describes the heating options or sources for heat. ;* Specifies the heat source, i.e. energy source that is being used. Not: Temeprature, Watts;None;None;None;"[""Free Text""]";None;12;84,35;Boilerless, server supply controlled heat, LP gas, Electric, booster heater, Gas, ceramic briquette, n/a, gas, electric, KoverTec Mica elements, NG gas
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Shelves;dimensions;The 'Shelves' attribute indicates the quantity or number of shelves included in a piece of furniture, storage unit, or appliance. ;* Solely a digit or a word describing the number of shelves, no details;None;None;None;"[""Numeric"", ""Number as Word""]";None;8;91,57;4, 8, 5, n/a, 6, 3, Six, 2
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Base;dimensions;The 'Base' attribute refers to the supporting bottom part or foundation of an object. In furniture the base is essential for stability and support.;* Base solely describes the kind of the base, not the material, not the legs.;None;None;None;"[""Free Text""]";None;20;74,62;Cabinet Base, pedestal base, cabinet base, standard oven base, adjustable undershelf, open cabinet base, undershelf & posts, Cabinet - Base, Hinged Door Base, enclosed base, Open Base, n/a, Base w/ Shelf, open base, enclosed base with bottom & intermediate undershelves, Undershelf, undershelf, open frame base, modular base, std. oven base
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Voltage;functional;The 'Voltage' attribute refers to the electrical potential difference that the appliance is designed to operate with. It's a crucial specification as it determines the compatibility of the appliance with the power supply available in a particular location. ;* Refers to Voltage only, not frequency or power supply. If ranges are part of the product text, the longest substring rule applies.;None;None;None;"[""Numeric"",""Numeric with Unit""]";None;14;89,39;120v/208-240v, n/a, 208v, 208, 220v, 480, 240, 230V, 115v, 208-230v, 120v, 208/240v, 240v, 208V
Home And Garden;The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.;Capacity;functional;The 'Capacity' attribute either determines the the storage/load/holding capacity of the item, or if given, it can also refer to the production capacity if ice machines.  Capacity is often measured in oz, lbs, cubic feet. It can also relate to the number of items that fit into the object.;* Can refer to both Storage/Load/Hold Capacity and Production Capacity (Ice Machines). ;None;None;None;"[""Numeric"",""Numeric with Unit"", ""Free Text and Numeric with Unit"", ""Free Text with Numeric"", ""Free Text""]";None;148;59,85;"78 lbs., 2630 lb production/24 hours, 8.2-cu ft, 24 bun, 45-gal, 652 lb production/24 hours, 1.0ltr, (7) Pan, 33 Gallon, 6-Piece, 455 lbs, up to 100 active employees or jobs, 5-1/4-gal, 100-lb, 500-lb, 92-lbs/day, 2000 lb., 1000 lbs., 200 lb., 1-3/4 oz to 4-1/2 oz, (1200) Butt, 350 lbs., 1,200 lb., 96 (750 ml) bottles, 1185 lb., 18 pan, 30 lb., holds up to 9-1/2"" round plates or up to 8"" square plates, holds 5 columns, Pair, 1185-lb, 801 lbs, .37-cu yd, 350-lb, 8.20 cubic feet, (6) 12"" x 20""x 2-1/2"" deep pans each compartment, 1500-lb, 115-lb., 8 qt., (6) Full Size Pan, 2.2 gallon/8 liter, 64 oz., 36/40, 55-gallon, 12.5 oz, (6) 12""x 20""x 2-1/2"" deep pans, 24 gallon, 95-lb, six garments, 1000 lb, 0.9 cu. ft., 1060 lb production/24 hours, 1861/1884 lb. capacity per 24 hours, (65) racks/hour, 80 -lb., (12) 9"" to 11-1/8"" plates, 48 gallon, 10 racks/hour, 12.1 cu. ft., 32 gallon, 12 cu. ft., (3) 1/2 barrel kegs, 64-oz, 44 gallon, 92-lb. ice production/24 hours, 400 lbs. per shelf, 300 lbs., 29-gal, 1.5 gallon, 1 gal., 95 lb., 1200 lb., 24-gal, 680 lb., 35 gallon, 3.9 gallons per hour, 28 qt., 10 cu. ft., 80-lb, 1491-lb production/24 hours, 13 gal, 680-lb, 3 qt., 12oz., 2-quart, (2) 40 pound tanks, 144 lb., 12 gallon, 146-lb capacity/24-hours, 29 gallon, (2) 3 gallon hoppers, (4) full size pan, 250 lbs per wheel, 2000-lb, n/a, 55 gallon, 3 Gallon, 115-lb, (2) 1/2 barrel keg, 10 gallon, 500 lb., 44-gal, 3-1/2 gallon, 2-1/2 gallon, 9 gallon, 7oz, 750 lb., 120-lb, 33.8oz, 6-24 oz Cups, 30-lb, 6 to 24 oz. paper / plastic / foam cups, 4-slice bread, 13.2 litres, 60gal, 1/2 Gal, 1 gal, 24.80 cubic feet, 1500 lbs., 1200-lb, 4-1/2 gallon, 1,200 cigarette butts per gallon, 3.3 qt., 300 lb., 100 lb., 1000-lb, 16 oz, 19.4 cu. ft., 12oz, up to (3) stacked sheet pan carriers, 35-gal, 300 lb, 40 qt., 200-lb, 14 place settings, 3-quart, (2) 1/2 barrel kegs, 146-lbs/day, 5 gallon, 5-1/4 gallon, 32oz, 40 gallon, 1-3/4 to 4-1/2 oz, 20 lb., 2570-lb/24-hr, 40-Tray, 45 gallon, (12)9 to 11-1/8"" Plates, 94.5oz"
Office Products;The 'Office Products' category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.;Product Type;identification;The 'Product Type' attribute can be seen as a subcategory of the product.;* Stick to Consistent Level of Detail, longest substring rule without including iformation about other attribute values (e.g. Material or Binding Mechanism) or advertisment slang;[Product Type Generalisation];"Give the Product Type as EXACTLY ONE of the following:
-Writing/Erasing Instruments and Accessories
-Paper Products 
-Printing, Copying, Laminating 
-Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings
-Office Furniture and Ergonomic Products 
-Board and Presentation Materials 
-Shipping and Packaging, Envelopes 
-Cleaning and Maintenance 
-Stationery and Desk Accessories
-Stickers and Badges
-Time, Planning and Organization 
-Miscellaneous""";"* Writing/Erasing Instruments and Accessories: Includes various pens (rollerball, gel ink, ballpoint), markers, pencils, erasers, correction tape, and sharpeners for all writing and correcting needs.
* Paper Products: Features a range of paper types such as multipurpose, design, notebook, photo, index cards, and legal pads, suitable for printing, note-taking, and arts.
* Printing, Copying, Laminating: Covers essential printing and document finishing supplies like ink and toner cartridges, laminating pouches, printers, and copiers.
* Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings: All about organization, including expanding files, sheet protectors, dividers, labels, and binding materials for document management.
* Office Furniture and Ergonomic Products: Encompasses furniture and ergonomic accessories like filing systems, wrist rests, ergonomic chairs, desks, and keyboard trays, focusing on comfort and efficiency.
* Board and Presentation Materials: Includes presentation tools like whiteboards, easels, bulletin boards, laser pointers, and display boards for educational and meeting environments.
* Shipping and Packaging, Envelopes: Features mailing and packaging items like envelopes, mailers, packing tapes, and shipping tags, essential for mailing and shipping needs.
* Cleaning and Maintenance: Contains cleaning and maintenance products like erasers, wipes, waste bags, and shredder bags for office cleanliness and upkeep.
* Stationery and Desk Accessories: Offers desk accessories and stationery items such as tape dispensers, staples, hole punches, paper trimmers, and stamp dispensers for workspace organization.
* Stickers and Badges: Comprises identification and decorative items like name badges, ID card reels, and reward stickers for office and educational use.
* Time, Planning and Organization: Focuses on time management tools like appointment books, calendars, planners, and time cards, essential for scheduling and organization.
* Miscellaneous: A diverse range covering unique office items like paper plates, document frames, earplugs, cash boxes, LED signs, and various forms and books.



";"[""Free Text""]";Free Text;373;0;Window Envelope, Design Suite Paper, Sheets for Six-Ring Ledger Binder, Purchase Order Book, Desktop hole punch, Poly Pockets with Index Tabs, Deskside Recycling Container, facsimile paper, Ribbon, Pedestal Desk, Document Frame, Strung Shipping Tags, stacking sorter, Paper Roll, Crown Staples, Solid Ink Sticks, Computer Paper, Tape Dispenser, IMAGING UNIT PHASER, Wall Calendar, Spell-Write Steno Book, Filing System, Versatile case, eraser, Whiteboard, Filing system, Print labels, TONER CARTRIDGE, Employment Application, Sheet Protectors, Sticky notes, Ballpoint Pen, laminating pouches, easel, Notebook Filler Paper, Gel Ink Roller Ball Pen, Composition Book, Naproxin Tablets, Waste Toner Box, Pencil Drawer Accessory, ink, Mailer, Plastic bags, Two-to-Three-Hole Adjustable Punch, Gel Ink Rolling Ball Pen, Notebook Thesaurus, folders, Filament Tape, Electric Desktop Sharpener, Ink Cartridge, Executive Plaque, Stapler, colored paper, Index System, Correction Tape, Tape Refill Rolls, envelope, Ink Glossy Photo Paper Combo Pack, laser toner cartridge, Visitor Register Book, display board, toners, Laser Trimmer, General Purpose Masking Tape, ID Card Reels, Shredder Bags, Cash Box, Cleaning Wet Wipes, monthly calendars, Bubble Mailers, cartridges, inkjet, 8-Drawer, Tape Gun, Class Record Book, Roller Ball Stick Waterproof Pen, notebook, book pockets, Whiteboard Eraser, Report Covers, computer printout paper, book, Toner, name badges, cross-section pads, Heavy-Duty Binder, Carton Sealing Tape, ink tank, Presentation Board, Hazardous Material Short Form, Lateral Files, Keyboard Tray, Drum Unit, files, Marking Flags, stickers, bulletin board, Power Pad, Time Clock Cards, Ink, Color Card Stock, Two-Pocket Portfolio, cartridge, Notes Cube, Tab Indexes, Business Promotions Sample Pack, Laser Toner Cartridge, Envelopes, Pop Up Note Pad Refills, Extra-Heavy Bags, Filler Paper, Art Rolls, No-Punch Report Cover, Rollerball pens, File Tabs, Rolling Notebook Case, ruled pads, paper rolls, Board, Reward Stickers, Card Holder, Address Labels, Heavy-duty binders, File Cabinet, Nylon & 4-Color Ribbons, Paper Clip, Display Board, File sorter, File Cart, Cartridge, Packing Slip Book, Expansion Envelopes, Library Book Card Pockets, noise reduction, Dry Erase Board, Paper, Earplugs, Classification Folder, removable labels, Can Liners, design paper, Mono Laser All-in-One Printer, Index Dividers, vellum with engineer and architect title block/border, fiber paper, all-purpose classroom art paper, Folio/Writing Pad, Catalog Envelope, Tape dispensing, Notes, Magnetic Presentation Easel, Paper Index Dividers, Copier Toner, laser, Letter Tray, Thermal ink ribbons, Laptop Stand/Holder, business card binder, Bulk Index System, Monochrome Printer, Forms Application, Original Pads, Lateral File Cabinet, Shipping Cartons, Message Stamp, window envelope, business papers, Paper Glossy, Fuser Unit, Index Tabs, Pedestal, Tape Flags, Print Cartridge, LED, Keyboard Wrist Pillow, photoconductor unit, Interior File Folders, Rubber Bands, Desktop Folder, Thermal Ink Ribbon Cartridge, keyboard wrist rest, Display Boards, Notebook, Construction Paper, Mobile Machine Stand, Storage/Transfer File, paper in a convenient roll, Photoconductor Kit, Name Badges, Weekly Appointment Book, Phone Call Book, Ethernet Monochrome Printer, Pop-Up Note Refills, Push Dispenser, Toner/Developer/Drum Cartridge, Nylon Ribbon, ring-ledger sheets, Paper Bag, Wire Bindings, whiteboard, Catalog Envelopes, Sorter, hole-punch, Ink cartridges, Lectern/Media Cart, Business Card Binder, Vellum Title Block/Border, Drum, Felt Sheet Pack, Dry-Erase Board, document frame, Wire Clips, File Folder Labels, Print-On Dividers, Wall File Pocket, Staplers, Tab Dividers, Cushioned Mailers, Sharpener, Legal Pads, Gel Wrist Rest and Mouse Pad, Laminating Pouches, Thermal Laminator Pouches, Medical Security Paper, Fine Art Paper, dry erase marker board, plates, keyboard tray, Note Pads, sheets, Thermal Facsimile Paper, Paper Plates, Postage Meter Ink, Matte Paper, Easel Pads, Paper Fasteners, easel pad, Erasable Wall Planner, paper, Writing Pads, laptop stand, dividers, Shop Ticket Holders, MICR Toner, Reporter/Steno Book, rollerball pens, index tabs, Desk Calendar Refill, Envelope, Page Flags in Dispenser, Clear Sheet Protector, Sign Holder, Business Card Holder, letter trays, Index Cards, Laser Toner, Photo Paper, Laminating Folders, Hole reinforcements, Mouse, Stamp Dispenser, Mailroom sorter, scouring products, Desk File, Paper Rolls, Sheet Dividers, Weekly Time Cards, stamping, report covers, Index Card File Holds, Ball Point Pen, Eraser, Deskside Letter/Legal Mobile File Cart, shop ticket holders, Tape, Strung tags, Open Shelf Files, Quadrille Pads, Page Markers, Paper Trimmer, Laser Pointer, mouse, folder, suggestion box, Bulletin Board, laser printer, Time Recorder Weekly Cards, tabs, Paper Bags & Sacks, Recycled Clipboards, Printhead, note pads, staples, Steno Book, steno book, Classification Folders, envelopes, Color Flags, tape, Ear Plugs, Shipping Tags, drum, No-Punch Report Covers, Deskside Recycling Containers, Open Rotary Card File, file folder labels, Ink Cartridges, LED OPEN Sign, Seven-Hole Punch, Doodle Desk Pad, Dry Erase Easel, Index File Tabs, Suggestion Box, laser drum, Stacking Sorter, Preprinted Dividers, Office Tape, Project Folders, Solid Ink, Legal Ruled Pad, Thermal Laminating Pouches, Card Guides, Expanding File, ink cartridges, Wireless Color Inkjet Printer with Scanner, Copier and Fax, Mobile File Cabinet, File Shelf, Graph Paper, Clipboard, stapler, interior folders, steno notebook, Wipe-Off Sentence Strips, Folder, Heavyweight paper, dispenser, Toner Print Cartridge, Hole Reinforcements, toner cartridge, Padfolio, Receipt, paper dividers, labels, Computer Printout Paper, Ruled Pads, Clasp Envelope, Ink Tank, Bill of Lading, Premoistened wipes, Storage Files, filing system, Colored Cardstock Paper, File Folders, Masking Tape, Chalkboard/Dry Erase Eraser, Removable Multi-Use Labels, Scrub 'n Strip Pad, Cross Section Pads, Deskside File Cart, Applause STICKERS, Multipurpose Paper, Ruled paper pads, Chart Tablets, Toner Cartridge, Printer Labels, mobile machine stand, Scratch Pads, Sheet Protector, Dry Erase Marker Board, Money Receipt Book, file cabinet, Dividers, Base/Media Cart
Office Products;The 'Office Products' category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.;Brand;identification;The 'Brand' attribute refers to the name of the company or manufacturer that produces or markets the product.;* Longest Substring Rule includes Subbrands, see Computers and Accessories;None;None;None;"[""Name"", ""Abbreviated Name""]";None;118;0,31;Eastman Kodak, AJM Packaging, Elmer's, Deflecto, Aleve, Lee, Canon, TREND, Geographics, Oki, Quality Park, Martin Yale, Rolodex, AT-A-GLANCE, BIC, Safco, Smead, Mayline, Fellowes, Aearoaosafety E·A·R, National, TOPS, Neenah, Scotch, Max, HON, Acco Swingline, Generic Brand, Jiffy Tuffguard, Pilot, Samsill, Kelly Computer Supplies, House Of Doolittle, 3M Scotch, Epson, E·A·R, Clearprint, Merriam Webster, Data Products, Acco Kensington, Okidata, Bush, Alera, Jaguar Plastics, DocuGard, Quartet, AT-A-GLANCE DayMinder, Sanford, ACCO, PRES-a-ply, Trend Enterprises, Wilson Jones, C-Line, MMF Industries, Redi-Tag, Chenille Kraft, Sealed Air, Samsung, Swingline, Strathmore, Hon, Casio, Lorell, Premier, Acco Mead, Universal, Blueline, Mead, Manco, Jiffy TuffGard, Safco Products, Buxton, Jiffylite, Acroprint, n/a, E-A-R, Brother, Cord Away, Xerox, 3M, Scotch-Brite PROFESSIONAL, Kimberly-Clark Professional*, Innovera, Dataproducts, Stanley Bostitch, Cardinal, Rubbermaid Commercial, Avery, Ideastream, Domtar, Acco, Sanford Papermate, Tennsco, Acco Quartet, Kensington, Advantus, HP (Hewlett-Packard), Consolidated Stamp, Lexmark, Henkel, Rubbermaid, HP, Rediform, Post-it, Saunders, Bostitch, uni-ball, Roaring Spring, Acco At-A-Glance, Acco Wilson Jones, Panasonic, Dax, NuDell, FranklinCovey, Samsonite, Pacon, Post-it(R), Uni-Ball
